,average_price,last_price,buy_trades_count,sell_trades_count,trades_count_imb,base_volume,quote_volume,mean_gas,mean_gas_price,mean_gas_value
2023-08-03 00:15:00+00:00,1841.8894778849976,1838.6383951457863,3.0,4,0.5714285714285714,7.942011855601196,14622.363701,235668.0,15.718981924571429,0.003680485166843904
2023-08-03 00:16:00+00:00,1841.298195376281,1838.7245628111007,2.0,5,0.7142857142857143,7.676673280759114,14129.999402000001,213833.85714285713,17.774074733714286,0.0037941231886189715
2023-08-03 00:17:00+00:00,1840.7844250674077,1838.6712344722637,3.0,1,0.25,4.512390562297158,8296.892721,336533.75,20.318406656,0.006833783395831296
2023-08-03 00:18:00+00:00,1841.2409921790247,1841.2144450194642,2.0,4,0.6666666666666666,56.88705788383224,104704.149479,181109.66666666666,22.059339605333335,0.0037219873301393065
2023-08-03 00:19:00+00:00,1839.2709244857604,1835.8419111896724,6.0,3,0.3333333333333333,82.5992752052769,152106.664865,230888.44444444444,25.373672789333334,0.005232206899914411
2023-08-03 00:20:00+00:00,1842.310450560447,1839.8754209255703,2.0,1,0.3333333333333333,28.476829286848623,52403.159727,391068.3333333333,17.549768704,0.006656658124973396
2023-08-03 00:21:00+00:00,1842.60141317976,1840.2492731044179,3.0,5,0.625,47.09108208048242,86796.675997,293608.375,18.342845824,0.005518215239558272
2023-08-03 00:22:00+00:00,1839.6419326773928,1838.2118569292115,2.0,1,0.3333333333333333,35.68975244307544,65750.240086,230330.0,20.368639317333333,0.004728896830068053
2023-08-03 00:23:00+00:00,1841.2214161316726,1842.8293030133511,1.0,2,0.6666666666666666,15.696559387370772,28922.843876,250929.33333333334,24.376909141333332,0.00592303368593135
2023-08-03 00:24:00+00:00,1849.2682729168896,1849.402084462566,0.0,4,1.0,1.2684539569360127,2345.724725,327212.5,17.173798656000002,0.005609597029315328
2023-08-03 00:25:00+00:00,1841.1189711068582,1841.1189711068582,1.0,0,0.0,0.010000000156932509,18.41119,135625.0,16.973483008,0.00230202863296
2023-08-03 00:26:00+00:00,1843.3936291813352,1841.1188711068596,1.0,1,0.5,0.04658852844635391,85.94147899999999,179709.5,17.995090943999998,0.003269969176218624
2023-08-03 00:27:00+00:00,1849.4720136862823,1849.4720136862823,0.0,1,1.0,0.5406948537744273,1000.0,237372.0,19.63692032,0.00466125505019904
2023-08-03 00:28:00+00:00,1840.7224206489138,1838.1125196592184,2.0,1,0.3333333333333333,6.593091731896916,12129.250487,220645.0,17.371709098666667,0.00384770203277824
2023-08-03 00:29:00+00:00,1848.908761157776,1848.908761157776,0.0,1,1.0,0.5396390616783161,997.743389,198561.0,18.454878208,0.003664419071858688
2023-08-03 00:30:00+00:00,1845.9639185153787,1842.9250010167377,0.0,4,1.0,2.0095488561288892,3705.76163,210156.0,16.101781248,0.003373199516976384
2023-08-03 00:31:00+00:00,1846.4059599746554,1849.069133222504,1.0,2,0.6666666666666666,0.12946494091019725,239.277005,261053.0,16.036527786666667,0.00419361259546385
2023-08-03 00:32:00+00:00,1843.99363812661,1838.3573655363991,2.0,4,0.6666666666666666,2.3638741256613898,4366.795819,199446.0,17.186962431999998,0.003415354203234987
2023-08-03 00:33:00+00:00,1842.714534396396,1842.0152297915135,1.0,1,0.5,57.62187246378401,106215.855226,272261.0,18.990285824,0.005149190879775744
2023-08-03 00:34:00+00:00,1844.6325194140022,1842.0630572545365,2.0,3,0.6,9.346647937182546,17230.415251,210098.6,19.5584692224,0.004102153842429543
2023-08-03 00:35:00+00:00,1842.012377556469,1841.9998399634603,2.0,0,0.0,2.834376034981495,5220.956004,204944.5,23.595296768,0.0048362870147973126
2023-08-03 00:36:00+00:00,1842.1214651865203,1838.3963755045488,1.0,2,0.6666666666666666,13.019653389679137,24006.844742,352017.6666666667,17.558596949333335,0.0059475897538273275
2023-08-03 00:37:00+00:00,1842.4836026507867,1849.4652263184628,3.0,2,0.4,4.594008627198031,8462.445555999999,189684.8,17.2311625728,0.003268057168550298
2023-08-03 00:38:00+00:00,1846.782393184902,1843.988387730134,0.0,2,1.0,1.1240914840712568,2078.538906,153666.5,15.956288512,0.0024474142298961917
2023-08-03 00:39:00+00:00,1842.7478573399987,1842.107524228507,2.0,1,0.3333333333333333,4.436040209674779,8173.151548,208818.66666666666,21.989690026666665,0.004709967058197162
2023-08-03 00:40:00+00:00,1847.7843716283016,1843.9421031415548,0.0,3,1.0,0.794540789218825,1466.552238,236773.66666666666,18.377735509333334,0.004362711257249792
2023-08-03 00:41:00+00:00,1841.712547490924,1842.129790227707,3.0,1,0.25,3.4222742889211792,6307.996904,203744.5,20.207002111999998,0.004199842822772736
2023-08-03 00:42:00+00:00,1840.1363806549812,1841.6373895308202,2.0,0,0.0,54.70097421139198,100739.032803,138727.5,35.6985344,0.005242056797939712
2023-08-03 00:43:00+00:00,1841.1545277701994,1841.1560790430485,2.0,0,0.0,0.3527588198334517,649.482966,167427.0,17.368008192,0.0028935680279075842
2023-08-03 00:44:00+00:00,1841.062006940396,1840.9850455089597,3.0,0,0.0,10.606309426325126,19526.814524,238323.66666666666,26.970859178666668,0.006448795341704192
2023-08-03 00:45:00+00:00,1839.7892072495029,1838.622252781565,2.0,0,0.0,0.7929809739966498,1459.809632,371668.0,29.363956736,0.012119947805616128
2023-08-03 00:46:00+00:00,1842.792748527425,1842.792748527425,0.0,1,1.0,0.12620833199276002,232.575799,311627.0,18.66281984,0.00581583855827968
2023-08-03 00:47:00+00:00,1847.2008448576796,1842.783949343378,1.0,5,0.8333333333333334,1.9205657989780165,3546.794653,229975.33333333334,18.810056021333335,0.004235907224501589
2023-08-03 00:48:00+00:00,1844.387776440502,1838.8076966298358,1.0,1,0.5,0.7480926996523616,1375.713318,223114.5,18.458162176000002,0.004118249551775744
2023-08-03 00:49:00+00:00,1842.7977536302574,1842.8078123762748,0.0,5,1.0,1.3388051715342146,2467.145459,169159.2,18.708989952000003,0.003151922012770714
2023-08-03 00:50:00+00:00,1844.5620223556932,1842.8022878433967,2.0,4,0.6666666666666666,3.4742318203419535,6405.8067,222159.16666666666,18.52474094933333,0.004106558539307691
2023-08-03 00:51:00+00:00,1841.3410228799544,1842.654686561936,3.0,1,0.25,9.549327307231021,17580.00242,229882.25,17.394070528,0.0039967295570048
2023-08-03 00:52:00+00:00,1846.114838486142,1845.6748569927372,0.0,3,1.0,1.110880891928682,2050.153026,258007.0,18.335047338666666,0.004701609493781504
2023-08-03 00:53:00+00:00,1841.4106343649355,1840.7576007107289,2.0,1,0.3333333333333333,5.872281544596149,10811.728901,301412.3333333333,16.190805674666667,0.004862106566268245
2023-08-03 00:54:00+00:00,1841.7055944974927,1840.793198689727,1.0,1,0.5,2.1851898818704045,4026.2745090000003,181941.5,17.319903232,0.003167068181006336
2023-08-03 00:55:00+00:00,1841.6319413627625,1840.628964107077,1.0,1,0.5,18.705594962786414,34430.170652,202922.0,16.536243712,0.00341238203366912
2023-08-03 00:56:00+00:00,1840.7858231743007,1840.0650164318863,1.0,1,0.5,45.412203296559916,83561.42589,161091.0,15.515620352,0.0025016201456762883
2023-08-03 00:57:00+00:00,1840.3909602810813,1841.2482740304258,1.0,1,0.5,15.661730634381266,28811.415086,205512.0,22.640425472,0.004656963684033024
2023-08-03 00:58:00+00:00,1845.8149065038183,1850.302620615591,2.0,3,0.6,10.065895381600958,18538.852552999997,244546.0,15.344349388800001,0.003761440441503539
2023-08-03 00:59:00+00:00,1841.7746333358684,1841.0765596972542,1.0,3,0.75,3.527784177463922,6492.393417,229755.75,16.195753472,0.003732522282888448
2023-08-03 01:00:00+00:00,1839.7417015198291,1840.6926542449257,4.0,2,0.3333333333333333,28.584577853008618,52575.160916,244300.66666666666,16.126210218666667,0.003937871413129728
2023-08-03 01:01:00+00:00,1839.349680511903,1838.7652123447463,3.0,1,0.25,7.144001731046709,13137.219970999999,202754.5,21.038166272,0.0044376424508574715
2023-08-03 01:02:00+00:00,1838.7512246391423,1838.7512246391423,1.0,0,0.0,0.6570226172042886,1208.101142,197933.0,15.691661312,0.003105897598468096
2023-08-03 01:03:00+00:00,1838.3010056562687,1837.9490490688383,3.0,0,0.0,64.51357835419832,118592.371872,131670.0,15.267270314666666,0.002014458777460736
2023-08-03 01:04:00+00:00,1840.0257456538038,1839.556125351419,2.0,4,0.6666666666666666,38.8100732314027,71365.128874,238445.16666666666,24.26404898133333,0.0063021889801907205
2023-08-03 01:05:00+00:00,1843.2513262194193,1837.733698578123,1.0,1,0.5,0.6999767508224214,1292.3398379999999,212520.5,15.742400512,0.003364922019094016
2023-08-03 01:06:00+00:00,1841.3853100445883,1848.816034538108,2.0,1,0.3333333333333333,6.232503098576791,11455.663374,229554.0,15.267576832000001,0.0035044897888392526
